longitude,latitude,noisedB,seconds
27.090115,93.6259931,77.1580658,1610437528
27.0900937,93.6260446,75.05885315,1610437529
27.0900736,93.6261033,75.94148254,1610437530
27.0900619,93.6261538,78.67456818,1610437531
27.0900595,93.6261927,80.78030396,1610437532
27.0900479,93.6262425,78.61247253,1610437533
27.0900261,93.6262936,77.34584045,1610437534
27.0899988,93.6263311,77.34584045,1610437534
27.0899686,93.6263619,78.98027802,1610437536
27.0899378,93.6263907,79.79306793,1610437537
27.0899066,93.6264246,77.73313904,1610437538
27.0899066,93.6264246,75.25698853,1610437539
27.0898544,93.6264712,73.52331543,1610437540
27.0898276,93.6264949,77.24247742,1610437541
27.0897981,93.6265277,82.13752747,1610437542
27.0897677,93.6265586,83.87632751,1610437543
27.0897456,93.6265724,83.87632751,1610437543
27.0897178,93.6265812,77.93995667,1610437544
27.0897178,93.6265812,78.78381348,1610437546
27.0896877,93.6265742,78.78381348,1610437546
27.0896577,93.6265576,81.53266144,1610437547
27.08963,93.6265353,78.43330383,1610437548
27.0895954,93.6264817,79.69229126,1610437550
27.0895925,93.6264566,79.69229126,1610437550
27.0895917,93.6264206,78.06183624,1610437552
27.0895927,93.6263922,78.06183624,1610437552
27.0895977,93.6263533,80.00215149,1610437553
27.0896036,93.6263102,79.93650055,1610437554
27.0896133,93.6262636,77.37254333,1610437557
27.0896265,93.6262181,77.37254333,1610437557
27.0896374,93.6261544,82.32491302,1610437559
27.0896373,93.6261034,80.01152039,1610437560
27.0896373,93.6261034,80.01152039,1610437560
27.089628,93.6260584,80.89067078,1610437561
27.0896181,93.6260111,83.82067871,1610437562
27.0896127,93.625963,82.44449615,1610437563
27.0896095,93.6259114,83.43388367,1610437564
27.0896076,93.6258504,83.43388367,1610437564
27.0895685,93.6254256,79.04975891,1610437572
27.0892756,93.6252758,75.3624115,1610437580
27.0889729,93.6254112,73.11543274,1610437588
27.0887374,93.6254179,80.5716095,1610437596
27.0884648,93.6252442,79.70903015,1610437603
27.0882081,93.625142,76.34941864,1610437610
27.0882017,93.6250833,78.93733978,1610437612
27.0882017,93.6250833,81.57228851,1610437613
27.0882018,93.6250496,81.57228851,1610437613
27.0882018,93.6250496,79.60249329,1610437615
27.0882006,93.6250143,79.60249329,1610437615
27.0882019,93.6249776,78.55001068,1610437616
27.0882019,93.6249776,78.55001068,1610437616
27.0882166,93.6249515,82.18320465,1610437617
27.0882363,93.6249303,79.96452332,1610437618
27.0882363,93.6249303,79.96452332,1610437618
27.088254,93.6249164,79.89491272,1610437619
27.088254,93.6249164,79.89491272,1610437619
27.0882733,93.6248981,81.17286682,1610437620
27.0882957,93.6248858,81.17286682,1610437620
27.0882957,93.6248858,83.19248199,1610437621
27.0883252,93.6248739,84.20249176,1610437622
27.0883701,93.6248605,84.20249176,1610437622
27.0883701,93.6248605,85.52279663,1610437623
27.0884211,93.6248495,85.52279663,1610437623
27.0884687,93.6248364,84.85264587,1610437625
27.0884687,93.6248364,84.85264587,1610437625
27.0885272,93.6248244,85.80818176,1610437626
27.0885272,93.6248244,85.80818176,1610437626
27.0885858,93.6248206,83.0056839,1610437627
27.0885858,93.6248206,83.0056839,1610437627
27.0886401,93.6248222,78.274086,1610437628
27.0886401,93.6248222,78.274086,1610437628
27.0886789,93.6248205,81.62561035,1610437629
27.0886789,93.6248205,81.62561035,1610437629
27.0887004,93.6248127,81.77121735,1610437630
27.0887235,93.6247859,81.77121735,1610437630
27.0887235,93.6247859,82.95066071,1610437631
27.0887386,93.6247473,82.88713074,1610437632
27.0886316,93.6244115,77.31324768,1610437639
27.0886316,93.6244115,77.31324768,1610437639
27.0886207,93.6243517,75.01690674,1610437640
27.0886191,93.624292,75.03198242,1610437641
27.0886204,93.6242306,75.47320557,1610437642
27.0886222,93.6241721,77.2233429,1610437644
27.0886224,93.6241083,78.58805847,1610437645
27.0886267,93.6239939,76.76892853,1610437646
27.0886267,93.6239939,76.76892853,1610437646
27.0886357,93.6239531,77.65172577,1610437647
27.0886489,93.6239066,77.40893555,1610437648
27.0886652,93.6238653,76.58813477,1610437649
27.0886827,93.6238244,78.15435791,1610437650
27.088703,93.6237799,78.69532013,1610437651
27.0887206,93.6237391,78.01849365,1610437652
27.0887329,93.6237128,79.63503265,1610437654
27.0887481,93.6236837,80.10967255,1610437655
27.0887676,93.6236536,80.10967255,1610437655
27.0887946,93.6235974,79.55194092,1610437657
27.0888085,93.623559,81.43696594,1610437658
27.0888218,93.6235205,82.69786072,1610437659
27.0888347,93.6234902,85.09253693,1610437660
27.0888831,93.6234497,84.72679138,1610437661
27.0889085,93.6234337,84.44021606,1610437662
27.0889285,93.6234203,87.23500824,1610437664
27.0889393,93.6234099,86.93549347,1610437665
27.0889409,93.623406,86.73091125,1610437666
27.0889425,93.6234006,86.89437866,1610437667
27.0889439,93.6233955,86.96283722,1610437668
27.0889445,93.6233934,86.22885132,1610437669
27.0889449,93.6233919,86.99607086,1610437670
27.088945,93.6233918,87.009552,1610437671
27.088945,93.6233917,86.91981506,1610437672
27.088945,93.6233917,86.28923035,1610437678
27.0889186,93.6233785,86.28923035,1610437678
27.0887459,93.6235248,86.28923035,1610437678
27.088641,93.6237578,86.28923035,1610437678
27.0886605,93.6240923,86.28923035,1610437678
27.0886882,93.6244212,86.28923035,1610437678
27.0887378,93.6247536,86.28923035,1610437678
27.0885024,93.624806,86.28923035,1610437678
27.0883192,93.6249651,86.28923035,1610437678
27.0882835,93.6251584,86.28923035,1610437678
27.0886588,93.6253116,86.28923035,1610437678
27.0889218,93.6254626,86.28923035,1610437678
27.0891333,93.6253321,86.28923035,1610437678
27.0894919,93.6252386,86.28923035,1610437678
